country,population,continent,average_gdp,total_suicides,average_gdp_per_capita,average_suicides_per_100k_pop
Albania,3029700,Europe,5211661212.14,1970,1859.05,3.5
Antigua and Barbuda,91889,Americas,803545216.7,11,10448.19,0.55
Argentina,39699624,Americas,274256497624.61,82219,7914.1,10.47
Armenia,3610516,Asia,5207441379.83,1838,1807.46,3.25
Aruba,95488,Americas,2196223463.79,101,24221.64,9.5
Australia,22240785,Oceania,632750138055.83,70111,32776.4,12.99
Austria,8219386,Europe,262661848329.48,48872,33920.0,23.91
Azerbaijan,7921100,Asia,7210687311.81,1656,1005.12,1.86
Bahamas,348959,Americas,7613828252.17,93,25836.39,1.25
Bahrain,1214492,Asia,16086468389.1,463,18039.52,1.85
Barbados,265165,Americas,3090573896.04,177,12251.0,2.97
Belarus,9694800,Europe,30676414843.48,59892,3333.9,31.08
Belgium,10624356,Europe,318402387543.87,62761,32066.74,21.24
Belize,319835,Americas,956037080.36,348,4006.46,6.23
Bosnia and Herzegovina,3673312,Europe,18601533684.5,318,5077.5,4.62
Brazil,191087085,Americas,1022560962485.35,226613,6091.48,5.85
Bulgaria,8431900,Europe,27144597352.4,36388,3640.43,19.49
Cabo Verde,452179,Africa,1864824081.0,42,4124.0,11.15
Canada,33314836,Americas,913187607121.86,107561,30887.48,12.47
Chile,16565725,Americas,111254282897.32,40895,7493.06,10.54
Colombia,44490427,Americas,144463845922.03,53080,3708.97,5.4
Costa Rica,4403674,Americas,19183534308.4,6792,5149.7,7.09
Croatia,4497400,Europe,42854313152.9,17746,10254.71,22.89
Cuba,10832068,Americas,46084621920.0,41418,4351.17,21.22
Cyprus,875229,Asia,21452670104.36,376,27821.21,3.21
Czech Republic,9989325,Europe,119708467291.23,42369,12140.85,18.56
Denmark,5383060,Europe,253034222035.41,15297,49299.91,14.1
Dominica,66400,Americas,98585185.0,0,1485.0,0.0
Ecuador,14534024,Americas,39601324323.71,20660,3286.26,6.3
El Salvador,5696329,Americas,13549749941.83,11683,2550.67,10.54
Estonia,1356651,Europe,14445861374.19,7034,11376.1,27.28
Fiji,782939,Oceania,2927373419.45,304,3913.27,5.11
Finland,5181797,Europe,175300773071.69,33677,35468.28,22.77
France,60275954,Europe,1781194065793.1,329127,31481.47,21.68
Georgia,5018550,Asia,7776763759.82,3224,1893.14,4.23
Germany,78851254,Europe,2742233009725.73,291262,35164.23,15.56
Greece,10735384,Europe,176604667141.45,12368,17019.39,4.06
Grenada,96892,Americas,560240942.24,38,6055.12,2.2
Guatemala,14258397,Americas,25236129303.9,8149,2263.53,3.19
Guyana,683867,Americas,1120870058.6,3426,1674.92,22.19
Hungary,9757766,Europe,88314035915.16,72130,9234.12,33.05
Iceland,308554,Europe,10479454801.81,1068,38591.06,12.77
Ireland,4328043,Europe,131558638869.63,12574,34230.87,10.78
Israel,7516180,Asia,139431902623.23,11294,23125.45,8.95
Italy,58117697,Europe,1481751544779.19,132060,26602.58,8.52
Jamaica,2601037,Americas,7954517192.06,184,3301.24,0.52
Japan,121127267,Asia,4339220721652.13,806902,36397.55,21.57
Kazakhstan,15646752,Asia,78687217446.19,101546,5329.12,30.51
Kiribati,73851,Oceania,59283525.18,53,875.91,6.66
Kuwait,3715284,Asia,72170263592.8,966,27819.0,1.19
Kyrgyzstan,5195827,Asia,3309951569.54,13090,720.73,14.29
Latvia,2374700,Europe,18316604055.81,12770,8961.1,29.26
Lithuania,3387149,Europe,27112901387.05,27217,9024.14,40.58
Luxembourg,537748,Europe,30593490477.87,1958,68798.39,16.55
Macau,346542,Asia,6265844252.0,27,18081.0,14.31
Maldives,341018,Asia,1533641865.4,20,5088.9,1.37
Malta,410637,Europe,5291359496.68,585,14044.42,5.03
Mauritius,1180547,Africa,5861924798.81,3796,5370.55,11.73
Mexico,114357884,Americas,680307770907.45,111139,7138.45,4.71
Montenegro,592234,Europe,2457459051.4,472,4195.6,9.95
Netherlands,16057342,Europe,536234972148.32,48947,35381.52,10.59
New Zealand,4129770,Oceania,82690437224.41,14383,22279.48,14.39
Nicaragua,5476483,Americas,10756573043.67,2013,2028.83,6.57
Norway,4882909,Europe,252565657710.93,16992,57319.6,12.94
Oman,3631098,Asia,62702470741.33,33,20740.67,0.74
Panama,3583382,Americas,20209103440.0,3483,6626.52,5.81
Paraguay,5877594,Americas,11687249401.33,4783,2365.78,4.22
Philippines,84201767,Asia,113685285324.0,21330,1540.2,2.42
Poland,36575200,Europe,294458281651.67,139098,8146.46,15.27
Portugal,10066628,Europe,138919994666.11,24061,14176.3,11.34
Puerto Rico,3523951,Americas,63221567525.81,9043,18352.65,10.19
Qatar,2354147,Asia,107494901779.71,506,68070.29,1.8
Republic of Korea,48671752,Asia,673420794900.58,261730,14801.26,25.14
Romania,21458000,Europe,93257048172.59,70824,4630.07,12.52
Russian Federation,139283200,Europe,884322917284.89,1209742,6518.81,34.89
Saint Kitts and Nevis,39100,Americas,216018642.0,0,5525.0,0.0
Saint Lucia,165596,Americas,840945508.29,230,5789.04,7.2
Saint Vincent and Grenadines,100948,Americas,488448325.88,124,4954.64,5.76
San Marino,28264,Europe,1425416612.0,4,53663.67,4.04
Serbia,7179002,Europe,31125218761.56,24179,4471.28,22.16
