index,country,year,sex,age,suicides_no,population,suicides_per_100k_pop,country_year,hdi_for_year,gdp_for_year,gdp_per_capita,generation,continent,average_gdp,average_gdp_per_capita,average_suicides_per_100k_pop
0,Albania,1987,male,15-24 years,21,312900,6.71,Albania1987,,2156624900,796,Generation X,Europe,5211661212.14,1859.05,3.5
1,Albania,1987,male,35-54 years,16,308000,5.19,Albania1987,,2156624900,796,Silent,Europe,5211661212.14,1859.05,3.5
2,Albania,1987,female,15-24 years,14,289700,4.83,Albania1987,,2156624900,796,Generation X,Europe,5211661212.14,1859.05,3.5
3,Albania,1987,male,75+ years,1,21800,4.59,Albania1987,,2156624900,796,G.I. Generation,Europe,5211661212.14,1859.05,3.5
4,Albania,1987,male,25-34 years,9,274300,3.28,Albania1987,,2156624900,796,Boomers,Europe,5211661212.14,1859.05,3.5
5,Albania,1987,female,75+ years,1,35600,2.81,Albania1987,,2156624900,796,G.I. Generation,Europe,5211661212.14,1859.05,3.5
6,Albania,1987,female,35-54 years,6,278800,2.15,Albania1987,,2156624900,796,Silent,Europe,5211661212.14,1859.05,3.5
7,Albania,1987,female,25-34 years,4,257200,1.56,Albania1987,,2156624900,796,Boomers,Europe,5211661212.14,1859.05,3.5
8,Albania,1987,male,55-74 years,1,137500,0.73,Albania1987,,2156624900,796,G.I. Generation,Europe,5211661212.14,1859.05,3.5
9,Albania,1987,female,5-14 years,0,311000,0.0,Albania1987,,2156624900,796,Generation X,Europe,5211661212.14,1859.05,3.5
10,Albania,1987,female,55-74 years,0,144600,0.0,Albania1987,,2156624900,796,G.I. Generation,Europe,5211661212.14,1859.05,3.5
11,Albania,1987,male,5-14 years,0,338200,0.0,Albania1987,,2156624900,796,Generation X,Europe,5211661212.14,1859.05,3.5
12,Albania,1988,female,75+ years,2,36400,5.49,Albania1988,,2126000000,769,G.I. Generation,Europe,5211661212.14,1859.05,3.5
13,Albania,1988,male,15-24 years,17,319200,5.33,Albania1988,,2126000000,769,Generation X,Europe,5211661212.14,1859.05,3.5
14,Albania,1988,male,75+ years,1,22300,4.48,Albania1988,,2126000000,769,G.I. Generation,Europe,5211661212.14,1859.05,3.5
15,Albania,1988,male,35-54 years,14,314100,4.46,Albania1988,,2126000000,769,Silent,Europe,5211661212.14,1859.05,3.5
16,Albania,1988,male,55-74 years,4,140200,2.85,Albania1988,,2126000000,769,G.I. Generation,Europe,5211661212.14,1859.05,3.5
17,Albania,1988,female,15-24 years,8,295600,2.71,Albania1988,,2126000000,769,Generation X,Europe,5211661212.14,1859.05,3.5
18,Albania,1988,female,55-74 years,3,147500,2.03,Albania1988,,2126000000,769,G.I. Generation,Europe,5211661212.14,1859.05,3.5
19,Albania,1988,female,25-34 years,5,262400,1.91,Albania1988,,2126000000,769,Boomers,Europe,5211661212.14,1859.05,3.5
